epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,9898.35,0.2925,0.16326,0.78086,0.98913,1,0.995,0.96005,0.27041,0.13795,0.79761,0.000317,0.000317,0.000317
172,9953.52,0.29125,0.16441,0.77837,0.99183,1,0.995,0.95951,0.27029,0.13857,0.79737,0.0003071,0.0003071,0.0003071
173,10008.4,0.28762,0.16207,0.78066,0.99726,1,0.995,0.95957,0.27023,0.13665,0.79712,0.0002972,0.0002972,0.0002972
174,10063.3,0.28591,0.16113,0.77444,0.99726,1,0.995,0.95938,0.27122,0.13953,0.79713,0.0002873,0.0002873,0.0002873
175,10118.3,0.28556,0.16077,0.78175,0.99726,1,0.995,0.96055,0.27046,0.13934,0.79674,0.0002774,0.0002774,0.0002774
176,10173,0.29128,0.16179,0.77512,0.98913,1,0.995,0.9593,0.27017,0.13896,0.79714,0.0002675,0.0002675,0.0002675
177,10227.3,0.28958,0.16328,0.7772,0.99183,1,0.995,0.958,0.27119,0.13731,0.79716,0.0002576,0.0002576,0.0002576
178,10281.5,0.28038,0.15774,0.77322,0.98645,1,0.995,0.95776,0.27091,0.13611,0.79735,0.0002477,0.0002477,0.0002477
179,10335.8,0.28498,0.15994,0.78011,0.98913,1,0.995,0.95793,0.2717,0.13614,0.79732,0.0002378,0.0002378,0.0002378
180,10389.9,0.28574,0.1597,0.77851,1,0.98329,0.995,0.95764,0.2743,0.13872,0.79743,0.0002279,0.0002279,0.0002279
181,10443.7,0.2862,0.15812,0.77948,1,0.98316,0.995,0.959,0.27436,0.13889,0.79716,0.000218,0.000218,0.000218
182,10497.2,0.28472,0.15702,0.77704,0.98645,1,0.995,0.95905,0.27356,0.13852,0.79775,0.0002081,0.0002081,0.0002081
